epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
59,1233.19,0.61345,1.67334,0.5727,1.11659,0,0.74407,0.78989,0.74173,0.7838,0.63998,0.72079,0.74141,0.73512,0.51339,0.66946,0.65277,0.6111,2.05687,0.63041,1.13057,0,0.75787,0.000709809,0.000709809,0.000709809
60,1253.09,0.6184,1.65788,0.57348,1.11858,0,0.73402,0.83985,0.73077,0.78894,0.62667,0.81227,0.69379,0.7345,0.48056,0.63598,0.61555,0.6348,1.99782,0.6625,1.15947,0,0.79535,0.000693305,0.000693305,0.000693305
61,1272.79,0.63031,1.68243,0.58553,1.13714,0,0.7943,0.8449,0.77243,0.79969,0.63889,0.81247,0.74312,0.75422,0.49568,0.61088,0.60383,0.62172,1.95204,0.63713,1.14931,0,0.75202,0.000676802,0.000676802,0.000676802
62,1292.42,0.60669,1.61626,0.5607,1.11646,0,0.7222,0.81342,0.76956,0.79473,0.64165,0.76958,0.72583,0.73508,0.4887,0.66527,0.64993,0.61893,2.0768,0.6436,1.14417,0,0.74445,0.000660299,0.000660299,0.000660299
63,1312.14,0.60327,1.59352,0.55978,1.10879,0,0.73618,0.82055,0.73881,0.77782,0.62705,0.80637,0.68532,0.71965,0.48596,0.59414,0.56089,0.64374,2.04145,0.64891,1.17167,0,0.78236,0.000643795,0.000643795,0.000643795
64,1332.03,0.60266,1.59229,0.55612,1.11006,0,0.75648,0.84495,0.74173,0.78885,0.63843,0.79871,0.71512,0.73899,0.52392,0.60251,0.60522,0.63772,1.9955,0.62029,1.1572,0,0.81819,0.000627292,0.000627292,0.000627292
65,1351.97,0.60521,1.59766,0.55816,1.11421,0,0.74397,0.80055,0.75708,0.77803,0.63636,0.7623,0.71633,0.71528,0.47189,0.65272,0.65108,0.60433,2.07195,0.62459,1.13129,0,0.7784,0.000610789,0.000610789,0.000610789
66,1371.74,0.58838,1.59572,0.55302,1.10067,0,0.72291,0.81334,0.74918,0.77866,0.63051,0.77745,0.71572,0.73233,0.50793,0.61506,0.60146,0.61687,2.02667,0.63641,1.14535,0,0.79503,0.000594286,0.000594286,0.000594286
67,1391.52,0.59631,1.59594,0.55294,1.10576,0,0.72292,0.81406,0.72638,0.77524,0.63357,0.78512,0.69276,0.71623,0.50185,0.55649,0.52466,0.63349,2.10332,0.66445,1.14805,0,0.86914,0.000577782,0.000577782,0.000577782
68,1411.29,0.5878,1.60654,0.54157,1.10048,0,0.71892,0.79969,0.76366,0.78425,0.63845,0.7639,0.73775,0.73402,0.51702,0.61925,0.59489,0.61054,2.06361,0.63002,1.14311,0,0.78643,0.000561279,0.000561279,0.000561279
